,time,sea,temp,RH,wind,SW_direct,SW_diffuse,ppt,vp_a,press,LW_in,snow_h,SW_global,alb,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
0,2021-12-03 08:00:00,0.003,-6.115,96.225,0.0,0.414,0.276,0.0,3.95,89.42,286.04,47.72,0.69,0.25,1.222,0.0,0.0,0.0,0.0,4.09977841293468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435,3.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.145,
1,2021-12-03 09:00:00,0.142,-5.675,96.46,0.0,4.161,2.774,0.0,3.9,89.47,289.835,46.95,6.935,0.25,4.709,0.0,0.0,0.0926380319508572,3759.4968046611016,4.09977841293468,0.0,0.0,1.0117286155714829,0.0,0.0,3.285469422334236,2.3696001382106378,-16.332869806798954,-0.0,-0.0,17.24873909092255,0.0,0.0,28.570021692735956,0.43499999999999994,3.0,0.0,0.0,-0.0,0.0,282.53999999999996,0.0,0.0,3.285469422334236,,3759.4968046611016,0.0,0.145,6.112911778902558
2,2021-12-03 10:00:00,0.255,-6.235,95.38,0.57,48.732,32.488,0.0,3.683,89.5,294.71,46.685,81.22,0.25,5.553,0.0,0.0,0.14691748566322718,3758.48507604553,4.098675110191418,0.45862044198952806,0.0,7.469198730492193,-0.0,282.53999999999996,24.25969504233567,29.73568718350529,-11.457869806798954,-1.660430026015473,-12.701594660781414,20.34390235242622,0.0,1.0117286155714829,28.56489575760745,0.43496097514680243,2.999730863081396,0.0,0.0,0.0,-3.8617497568880405e-05,333.18,0.0,7.105427357601002e-15,24.259695042335668,,4042.0368046611015,0.0,0.145,6.112911778902558
3,2021-12-03 11:00:00,0.332,-5.895,95.625,0.625,106.344,70.896,0.0,3.517,89.48,313.305,46.325,177.24,0.25,10.674,0.0,0.0,0.1828720503113438,3750.557256873048,4.090029723961885,0.5364714807893541,0.45862044198952806,29.962812783629946,-0.0,615.72,97.45525376790398,67.75750898873216,7.137130193201074,-1.7209808256089456,-14.878626222805911,39.160221634385614,0.0,8.480927346063677,28.524713430609406,0.43465493700983165,2.9976202552402187,0.0,0.0,0.0,-0.00030265772026249403,640.44,0.0,1.4210854715202004e-14,97.45525376790397,,4375.216804661101,0.0,0.145,6.112911778902558
4,2021-12-03 12:00:00,0.368,-7.72,93.405,0.555,13.566,9.044,0.0,3.333,89.455,299.18,45.825,22.61,0.25,10.307,0.0,0.0,0.19932294536073086,3720.057972608629,4.056769871983238,0.507383837245411,0.9950919227788821,7.24516969925756,-0.0,1256.16,23.69383171085818,8.811011307572755,-6.987869806798926,-2.0007882716230894,-14.14871127001063,38.02018975171807,0.0,38.44374012969362,28.36986235586209,0.43347353374058817,2.9894726464868153,0.0,0.0,0.0,-0.0011660012662197787,618.4200000000001,0.0,3.552713678800501e-15,23.69383171085818,,5015.656804661101,0.0,0.145,6.112911778902558
5,2021-12-03 13:00:00,0.358,-9.33,93.73,0.455,9.726,6.484,0.0,3.367,89.335,277.25,40.805,16.21,0.25,0.565,0.0,0.0,0.19477825660937217,3712.305419072126,4.048315615127727,0.41030480485099,1.5024757600242933,0.0,-0.4766648031060417,1874.5800000000002,-33.98423540513256,6.283809992837066,-28.917869806798933,-1.9797069675970036,-11.457526330849497,2.087057707275813,0.0,45.68890982895118,28.330433698058776,0.4331722065444407,2.987394527892695,0.0,0.0,0.0,-0.0002980013349893356,27.021289891281533,6.878710108718464,-11.457526330849497,,-22.526709074283062,5634.076804661101,1.0,0.145,6.112911778902558
6,2021-12-03 14:00:00,0.302,-9.11,94.71,0.41,15.321,10.214,13.215,3.683,89.43,275.875,45.21,25.535,0.85,0.0,-0.4766648031060417,0.0,0.1689810331972193,3718.7738243759936,4.055369492231182,0.29576641548376686,1.9127805648752834,0.0,-1.4905111274000977,1901.6012898912818,-35.82721102403613,1.9204437614421899,-28.161324785584668,-1.6524636695291917,-8.249527509869207,0.0,0.31566117950474554,45.68890982895118,28.363333209421967,0.43342365025857027,2.9891286224728986,0.0,370.9422026776586,0.0,0.0002489858495861314,0.0,0.0,-35.82721102403613,0.0,,5667.976804661101,0.0,0.145,5.877079355660814
7,2021-12-03 15:00:00,0.208,-7.505,95.29,0.445,14.739,9.826,0.0,3.9,89.41,284.445,44.57,24.565,0.848,0.0,-1.9671759305061394,-0.0041331650364779555,0.12452945714154472,4089.4202606381687,4.459564079212834,0.2014076480209621,2.20854698035905,0.0,-0.6818242141006524,1901.6012898912818,-16.388914883507944,1.772538829659003,-12.997833505332153,-1.1501950384826543,-5.27288365868328,0.0,1.2594584893311387,45.68890982895118,30.217967724311123,0.4473697330182792,3.0853085035743395,0.0,0.0,0.0,0.014250602494328255,0.0,0.0,-16.388914883507944,0.0,,6038.919007338759,0.0,0.145,5.192097513901087
8,2021-12-03 16:00:00,0.083,-5.94,96.065,0.6,5.064,3.376,0.0,4.083,89.435,289.875,43.92,8.44,0.847,0.0,-2.649000144606792,-0.020110025310075996,0.06378335487607212,4089.2188529901478,4.459344441646835,0.17248412661388857,2.409954628380012,0.0,-0.3233682118845482,1901.6012898912818,-7.77275724593975,0.5659468330911418,-4.587701469839487,-0.9218767336169771,-4.515809627204284,0.0,1.6866837516298565,45.68890982895118,30.216975541331898,0.44736238844298903,3.085257851330959,0.0,0.0,0.0,-7.268442669687796e-06,0.0,0.0,-7.77275724593975,0.0,,6038.919007338759,0.0,0.145,4.903713330302629
9,2021-12-03 17:00:00,0.0,-4.815,96.815,0.41,-0.051,-0.034,0.0,4.2,89.4,292.22,43.43,-0.085,0.845,0.0,-2.97236835649134,-0.04150680279130127,0.022838624591100705,4089.0463688635336,4.459156345543657,0.08215994858443754,2.5824387549939005,0.0,-0.060982629835714605,1901.6012898912818,-1.4658310882494694,-0.005450539327392653,-0.8371721950379083,-0.3525706286311814,-2.1510913933775186,0.0,1.8804536681245316,45.68890982895118,30.21612582969365,0.44735609840744545,3.085214471775486,0.0,0.0,0.0,-6.2248487748582386e-06,0.0,0.0,-1.4658310882494694,0.0,,6038.919007338759,0.0,0.145,4.7721133983374155
10,2021-12-03 18:00:00,0.0,-4.36,96.49,0.585,-0.243,-0.162,0.0,4.283,89.39,294.47,42.845,-0.405,0.844,0.0,-3.0333509863270547,-0.06536202425396981,0.022838624591100705,4088.9642089149493,4.4590667490893665,0.09520921428638836,2.664598703578338,0.0,0.02914478247981001,1901.6012898912818,0.7005491290596022,-0.02613776658099945,1.677325604307896,-0.3621488173398742,-2.4927774221910344,0.0,1.9042875308636142,45.68890982895118,30.215721079468413,0.44735310219130286,3.085193808215882,0.0,0.0,0.0,-2.965186695190453e-06,0.0,0.0,0.7005491290596022,0.0,,6038.919007338759,0.0,0.145,4.747659423342701
11,2021-12-03 19:00:00,0.0,-3.925,96.375,0.735,-0.255,-0.17,0.0,4.367,89.345,296.735,42.23,-0.425,0.842,0.0,-3.004206203847245,-0.08951976118896934,0.0228386245911007,4088.8689997006627,4.458962922247179,0.10100034960565842,2.7598079178647263,0.0,0.11225129589514034,1901.6012898912818,2.6981689648783034,-0.027780168184775453,3.815939318579524,-0.31565029988554083,-2.644442571335476,0.0,1.8701026857045722,45.68890982895118,30.21525204035396,0.44734963004320094,3.0851698623669033,0.0,0.0,0.0,-3.436186146765281e-06,0.0,0.0,2.698168964878303,0.0,,6038.919007338759,0.0,0.145,4.759332163914992
12,2021-12-03 20:00:00,0.0,-3.73,96.735,0.515,-0.21,-0.14,0.0,4.45,89.285,297.935,42.04,-0.35,0.841,0.0,-2.8919549079521043,-0.11324401429658967,0.022838624591100705,4088.767999351057,4.458852780099298,0.0639499768948856,2.860808267470385,0.0,0.18359605573560506,1901.6012898912818,4.413073147259075,-0.023022581675096857,4.52877950443019,-0.20115894462996814,-1.6743984244778458,0.0,1.782873593611796,45.68890982895118,30.214754467784207,0.4473459466415023,3.0851444595965676,0.0,0.0,0.0,-3.6452500125866766e-06,0.0,0.0,4.413073147259075,0.0,,6038.919007338759,0.0,0.145,4.804534652887611
13,2021-12-03 21:00:00,0.0,-3.385,96.525,0.745,-0.234,-0.156,0.0,4.517,89.19,299.36,42.125,-0.39,0.839,0.0,-2.708358852216499,-0.13586185928936254,0.0228386245911007,4088.704049374162,4.4587830418475045,0.09453834605953976,2.9247582443652704,0.0,0.16933391816649151,1901.6012898912818,4.070256107554209,-0.025976422342845133,5.155680907889007,-0.23470215141499468,-2.475317676919917,0.0,1.6505714503429587,45.68890982895118,30.21443941968378,0.44734361440580167,3.0851283752124257,0.0,0.0,0.0,-2.308086000438981e-06,0.0,0.0,4.070256107554209,0.0,,6038.919007338759,0.0,0.145,4.879311219850087
14,2021-12-03 22:00:00,0.0,-3.315,96.455,0.61,-0.222,-0.148,0.0,4.517,89.125,299.63,39.975,-0.37,0.838,0.0,-2.5390249340500075,-0.15680140541323884,0.022838624591100698,4088.6095110281026,4.458679946595532,0.09234125961059883,3.01929659042481,0.0,0.14784744173463008,1901.6012898912818,3.5537886279520645,-0.02479736829479435,4.688137982329067,-0.22022335458639897,-2.4178281637532573,0.0,1.5284995322574477,45.68890982895118,30.213973675672463,0.44734016657727466,3.085104597084653,0.0,0.0,0.0,-3.4121186410479807e-06,0.0,0.0,3.5537886279520645,0.0,,6038.919007338759,0.0,0.145,4.949217861070592
15,2021-12-03 23:00:00,0.0,-3.07,95.585,0.725,-0.363,-0.242,4.125,4.633,88.99,300.375,41.35,-0.605,0.85,0.0,-2.3911774923153772,-0.17619246729851004,0.0228386245911007,4088.517169768492,4.458579247293884,0.09598112110058711,3.111637850035409,0.0,0.14269393942033373,1901.6012898912818,3.429914601429892,-0.037543563108985434,4.788047381801903,-0.22862392506919843,-2.51317074262139,0.0,1.4212054504275633,45.68890982895118,30.213518752161725,0.4473367988255302,3.085081371210553,0.0,123.34088840918514,0.0,-3.332871827069447e-06,0.0,0.0,3.429914601429892,0.0,,6038.919007338759,0.0,0.145,5.010999392033937
16,2021-12-04 00:00:00,0.0,-2.795,95.86,0.57,-0.294,-0.196,3.63,4.9,89.005,301.355,42.56,-0.49,0.85,0.0,-2.2484835528950433,-0.1942224959203241,0.023512265618315,4211.762077056576,4.592979364292886,0.034217257515108346,3.207618971135996,0.0,0.2242091452841482,1901.6012898912818,5.389284396437594,-0.030436890913767698,5.1444396846237055,-0.14473671982671446,-0.8953810621835915,0.0,1.3153993847379615,45.68890982895118,30.23254986646338,0.4608213899397514,3.085081371210553,0.0,108.53998180008291,0.0,0.004448343739816329,0.0,0.0,5.389284396437594,0.0,,6162.259895747944,0.0,0.145,5.071293215356972
17,2021-12-04 01:00:00,0.0,-2.18,96.935,0.61,-0.228,-0.152,0.0,5.017,88.955,304.34,41.265,-0.38,0.848,0.0,-2.024274407610895,-0.21043210915924546,0.024104278165113537,4320.267841599145,4.7113062612858725,0.03222881514342865,3.2418362286511044,0.0,0.30769265585953337,1901.6012898912818,7.395966061155423,-0.02393935786409018,7.147597836963655,-0.04420083654647424,-0.8428685599037175,0.0,1.1593769785060495,45.68890982895118,30.249762502500946,0.4726933276983833,3.085081371210553,0.0,0.0,0.0,0.003913890740795401,0.0,0.0,7.395966061155423,0.0,,6270.799877548027,0.0,0.14937090290066807,5.167367182870497
18,2021-12-04 02:00:00,0.0,-1.845,96.97,0.475,-0.174,-0.116,0.0,5.15,88.935,306.715,40.47,-0.29,0.847,0.0,-1.7165817517513615,-0.22436817019010186,0.023512265618314997,4320.235612784001,4.71127111535878,0.02577330693818974,3.274065043794533,0.0,0.3498294410993797,1901.6012898912818,8.408802174157639,-0.018373943535290784,8.171199659249964,-0.028376796040293747,-0.663086903542152,0.0,0.9474401580254105,45.68890982895118,30.749437788561064,0.4647440415630392,3.1113425207859584,0.0,0.0,0.0,-1.1618579514232303e-06,0.0,0.0,8.408802174157639,0.0,,6270.799877548027,0.0,0.14937090290066807,5.301914729495864
19,2021-12-04 03:00:00,0.0,-1.69,98.185,0.69,-0.087,-0.058,0.0,5.65,88.9,307.665,39.83,-0.145,0.845,0.0,-1.3667523106519819,-0.2359448922361896,0.023512265618314997,4320.209839477063,4.711243009244344,0.0,3.2998383507327227,0.0,0.39092677586316005,1901.6012898912818,9.396653158991096,-0.00930706290186298,7.5791420778325005,-0.10371858401538991,1.2125600905830798,0.0,0.7179766374927674,45.68890982895118,30.74931549345847,0.4647431173839185,3.1113363336430626,0.0,0.0,0.04713041222205636,-9.140366932876308e-07,0.0,0.0,9.396653158991096,0.0,,6270.799877548027,0.0,0.14937090290066807,5.4587606657133465
20,2021-12-04 04:00:00,0.0,-0.45,99.625,0.685,-0.264,-0.176,3.705,5.8,88.775,311.965,41.065,-0.44,0.85,0.0,-0.9758255347888218,-0.2447178288973049,0.023512516522210297,4320.256969889285,4.711294405549929,0.0,3.2998383507327227,0.0,0.4895089934545394,1901.6012898912818,11.766260368180165,-0.02733109565427953,10.148866968204516,0.1672604353753569,1.0132666683646987,0.0,0.4641973918898719,45.68890982895118,30.749322814668425,0.4647481874003097,3.1113363336430626,0.0,112.67615181160915,0.03938418187443921,1.6714617792594002e-06,0.0,0.0,11.766260368180165,0.0,,6270.847007960249,0.0,0.14937090290066807,5.639025817177337
21,2021-12-04 05:00:00,0.0,0.085,99.94,0.695,-0.072,-0.048,0.0,5.867,88.725,315.625,40.305,-0.12,0.848,0.0,-0.4863165413342824,-0.2503897834540745,0.024112053285770513,4432.972505882768,4.834212111104436,0.0013389735701556883,3.2998383507327227,0.07760333047511496,0.4863165413342824,1901.6012898912818,11.923535978182342,-0.007559882311159474,11.631720468017932,0.18428001481047485,-0.03442893238219845,0.0,0.14952431004729294,45.68890982895118,30.767055367130094,0.47687347101420724,3.1113363336430626,0.0,0.0,0.0,0.003997411790020651,0.0,0.0,11.689523835527714,0.23401214265462733,,6383.5625439537325,0.0,0.14937253243082732,5.872390902358086
22,2021-12-04 06:00:00,0.0,0.2,99.96,0.67,-0.087,-0.058,0.0,5.9,88.705,315.58,39.79,-0.145,0.847,0.0,0.0,-0.2521713693780727,0.0235125165222103,4432.893563578722,4.834126023531867,0.051832441284319256,3.3011773243028784,2.695819006392287,-0.0,1901.6012898912818,7.995531248440105,-0.009186975107427142,9.412130193201051,0.06217610696951841,-1.3108463121409633,0.0,-0.1587417644820737,45.766513159426296,31.28148573654429,0.468752516982122,3.1381440038127213,0.0,0.0,0.0,-2.7980439317958962e-06,0.0,0.0,0.0,7.995531248440104,,6383.5625439537325,0.0,0.14937253243082732,6.112911778902558
23,2021-12-04 07:00:00,0.0,0.39,100.0,3.76,-0.198,-0.132,0.0,6.0,88.685,315.55,39.57,-0.33,0.845,0.0,0.0,-0.2502482982754317,0.0235125165222103,4430.145912131045,4.831129675170169,0.15419658384624985,3.3530097655871978,2.0162221519887407,-0.0,1901.6012898912818,5.982386827405909,-0.02118159913206664,9.382130193201078,0.6802573608078871,-3.9012553742836458,0.0,-0.1575637531873439,48.46233216581858,31.268558213404237,0.4686556476187794,3.1374954952699112,0.0,0.0,0.0,-9.578663836279396e-05,0.0,0.0,1.7763568394002505e-15,5.982386827405906,,6383.5625439537325,0.0,0.14937253243082732,6.112911778902558
